Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Sprint,Custom field (Story Points),Custom field (Story point estimate),Time Spent,Status,Due date,Parent,Parent key,Parent summary
Task,TTCN-473,13498,[BE] Web app CSKH - Api chi tiết booking,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,3.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-472,13497,[BE] Web app CSKH - Api thêm dịch vụ trong booking,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,5.0,43200,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-469,13494,[BE] Web app CSKH - Đồng bộ các thông tin internal,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,8.0,43200,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-468,13493,[BE] Web app CSKH - Api chỉnh sửa booking,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,3.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-467,13492,[BE] Web app CSKH - Api tạo mới booking,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,5.0,43200,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-466,13491,[BE] Web app CSKH - Api danh sách booking,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,3.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-334,13097,[BE] Setup hệ thống phía server,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,13.0,13.0,14400,Done,01/May/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-332,13095,[SYSTEM] Phân tích tổng thể hệ thống phục vụ việc lựa chọn công nghệ,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,8.0,13.0,14400,Done,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-876,14089,[MB] App Tổ đội - Release v1.1.1+72,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,2.0,2.0,14400,Ready for Test,04/May/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-875,14088,[MB] App Giao dịch - Release v1.0.8+57,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,2.0,2.0,14400,Ready for Test,04/May/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-874,14087,[MB] App Điều Phối - Release v1.2.7+138,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,2.0,2.0,14400,Ready for Test,04/May/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-873,14054,[MB] App Điều phối an ninh - Hỗ trợ các thiết bị sử dụng IOS 14,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,3.0,3.0,14400,Ready for Test,29/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-871,14052,[MB] App Ops Hiện trường - Bổ sung hiển thị 'Trạng thái thả xe',MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,1.0,1.0,3600,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-861,14042,[MB] App Điều phối An ninh - Release ứng dụng,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,2.0,2.0,10800,Ready for Test,25/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-860,14041,[MB] App Ops Hiện trường - Release ứng dụng,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,2.0,2.0,10800,Ready for Test,29/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-846,14027,[MB] App Tổ đội - Cập nhật hỗ trợ IOS 26 theo yêu cầu từ Apple,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,1.0,1.0,3600,Ready for Test,13/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-845,14026,[MB] App Điều phối An ninh - Fill dữ liệu cập nhật hành trình với các mốc: Khu chờ sang tải và khu chờ rời bãi,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,1.0,1.0,3600,Ready for Test,13/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-732,13869,[MB] App Điều phối an ninh - Xử lý thông báo FCM,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,2.0,2.0,10800,Ready for Test,03/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-730,13867,[MB] App Điều phối - Bổ sung nút Phân vị trí sang tải,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,2.0,2.0,7200,Ready for Test,13/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-727,13864,"[MB] App Giao dịch - Bổ sung bộ lọc ""Mức ưu tiên"" tại danh sách job",MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,1.0,1.0,3600,Ready for Test,13/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-726,13863,[MB] App Giao dịch - Update giao diện luồng nhanh ở màn danh sách & chi tiết,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,1.0,1.0,3600,Ready for Test,13/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-725,13862,"[MB] App Điều phối - Bổ sung bộ lọc ""Mức ưu tiên"" tại danh sách job",MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,1.0,1.0,3600,Ready for Test,13/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-724,13861,[MB] App Điều phối - Update giao diện luồng nhanh ở màn danh sách & chi tiết,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,1.0,1.0,3600,Ready for Test,13/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-721,13858,"[MB] App Tổ đội - Bổ sung bộ lọc ""Mức ưu tiên"" tại danh sách job",MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,1.0,1.0,3600,Ready for Test,13/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-720,13857,[MB] App Tổ đội - Update giao diện luồng nhanh ở màn danh sách & chi tiết,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,1.0,1.0,3600,Ready for Test,13/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-702,13839,[MB] App Điều phối an ninh - Thực hiện cuộc gọi,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,2.0,2.0,7200,Ready for Test,06/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
